"target_id","comparator_id","outcome_id","analysis_id","log_hazard_ratio","log_likelihood"
239,237,59,1,-2.30258509299405,-35.9376919818422
239,237,59,1,-2.17466369893882,-32.5423602425912
239,237,59,1,-2.0467423048836,-29.2475568201537
239,237,59,1,-1.91882091082837,-26.0638746524493
239,237,59,1,-1.79089951677315,-23.0026154757411
239,237,59,1,-1.66297812271792,-20.0757378382263
239,237,59,1,-1.5350567286627,-17.2957772645962
239,237,59,1,-1.40713533460747,-14.6757351966251
239,237,59,1,-1.27921394055225,-12.2289342462878
239,237,59,1,-1.15129254649702,-9.96883869190943
239,237,59,1,-1.08733184946941,-8.91299988955516
239,237,59,1,-1.0233711524418,-7.90884104281457
239,237,59,1,-0.959410455414185,-6.95798491902045
239,237,59,1,-0.895449758386573,-6.0620178509474
239,237,59,1,-0.831489061358961,-5.2224808657373
239,237,59,1,-0.767528364331348,-4.44086063703659
239,237,59,1,-0.703567667303736,-3.71858035458588
239,237,59,1,-0.639606970276123,-3.05699061418132
239,237,59,1,-0.575646273248511,-2.45736043811413
239,237,59,1,-0.511685576220899,-1.92086854143018
239,237,59,1,-0.447724879193286,-1.44859496238206
239,237,59,1,-0.383764182165674,-1.04151317599415
239,237,59,1,-0.319803485138062,-0.700482807505352
239,237,59,1,-0.255842788110449,-0.426243057493572
239,237,59,1,-0.199345331870256,-0.240051145747302
239,237,59,1,-0.142847875630063,-0.106790115084273
239,237,59,1,-0.0863504193898692,-0.026715669813079
239,237,59,1,-0.0298529631496758,0
239,237,59,1,0.0415709746653555,-0.0427206311601083
239,237,59,1,0.112994912480387,-0.170834327603998
239,237,59,1,0.184418850295418,-0.384106026962655
239,237,59,1,0.25584278811045,-0.682085845604021
239,237,59,1,0.319803485138062,-1.02028629264325
239,237,59,1,0.383764182165675,-1.42527735816001
239,237,59,1,0.447724879193287,-1.89631984157542
239,237,59,1,0.511685576220899,-2.43255411765124
239,237,59,1,0.575646273248512,-3.03300671136267
239,237,59,1,0.639606970276124,-3.69659758445727
239,237,59,1,0.703567667303737,-4.42214802188971
239,237,59,1,0.767528364331349,-5.20838900136824
239,237,59,1,0.831489061358961,-6.05396992709608
239,237,59,1,0.895449758386574,-6.95746760933415
239,237,59,1,0.959410455414186,-7.91739537443468
239,237,59,1,1.0233711524418,-8.93221219525643
239,237,59,1,1.08733184946941,-10.0003317390245
239,237,59,1,1.15129254649702,-11.1201312384065
239,237,59,1,1.27921394055225,-13.5081481868398
239,237,59,1,1.40713533460747,-16.0828705312323
239,237,59,1,1.5350567286627,-18.8308339932591
239,237,59,1,1.66297812271792,-21.7387159609447
239,237,59,1,1.79089951677315,-24.7935149925139
239,237,59,1,1.91882091082837,-27.982695563277
239,237,59,1,2.0467423048836,-31.2942991250373
239,237,59,1,2.17466369893882,-34.7170239415303
239,237,59,1,2.30258509299405,-38.2402770748358
239,237,60,1,-2.30258509299405,-14.916163077781
239,237,60,1,-2.17466369893882,-13.4828180934345
239,237,60,1,-2.0467423048836,-12.092985365619
239,237,60,1,-1.91882091082837,-10.7512498973146
239,237,60,1,-1.79089951677315,-9.46250348481487
239,237,60,1,-1.66297812271792,-8.23192221614531
239,237,60,1,-1.5350567286627,-7.06493191542549
239,237,60,1,-1.40713533460747,-5.96716007237885
239,237,60,1,-1.27921394055225,-4.94437319069628
239,237,60,1,-1.15129254649702,-4.0023990923393
239,237,60,1,-1.0233711524418,-3.14703453507512
239,237,60,1,-0.895449758386573,-2.38393951899913
239,237,60,1,-0.767528364331348,-1.71852082173995
239,237,60,1,-0.639606970276123,-1.15580852060912
239,237,60,1,-0.511685576220899,-0.700330406837129
239,237,60,1,-0.383764182165674,-0.355990121604346
239,237,60,1,-0.255842788110449,-0.125955391015204
239,237,60,1,-0.162417829798702,-0.0315568343253396
239,237,60,1,-0.068992871486954,0
239,237,60,1,0.0934249583117479,-0.0955855847660558
239,237,60,1,0.174633873211099,-0.214973128123109
239,237,60,1,0.25584278811045,-0.381798179125649
239,237,60,1,0.383764182165675,-0.739754303770017
239,237,60,1,0.511685576220899,-1.21201598305803
239,237,60,1,0.639606970276124,-1.79541549088526
239,237,60,1,0.767528364331349,-2.48604918607128
239,237,60,1,0.895449758386574,-3.27938927738568
239,237,60,1,1.0233711524418,-4.17040568751696
239,237,60,1,1.15129254649702,-5.15369163883638
239,237,60,1,1.27921394055225,-6.2235871312486
239,237,60,1,1.40713533460747,-7.3742954069863
239,237,60,1,1.5350567286627,-8.59998864408819
239,237,60,1,1.66297812271792,-9.89490033886321
239,237,60,1,1.79089951677315,-11.2534030015881
239,237,60,1,1.91882091082837,-12.670070808143
239,237,60,1,2.0467423048836,-14.1397276705027
239,237,60,1,2.30258509299405,-17.2187481707752
239,237,61,1,-2.30258509299405,-4.60517018598809
239,237,61,1,-1.79089951677315,-3.69972582486536
239,237,61,1,-1.27921394055225,-2.85880072573211
239,237,61,1,-0.767528364331348,-2.10699824212729
239,237,61,1,-0.255842788110449,-1.46783623702121
239,237,61,1,0.25584278811045,-0.956150660800308
239,237,61,1,0.767528364331349,-0.571941513464594
239,237,61,1,1.27921394055225,-0.300372844627614
239,237,61,1,1.79089951677315,-0.117926791319064
239,237,61,1,2.30258509299405,0
239,237,63,1,-2.30258509299405,-28.0410682932761
239,237,63,1,-2.17466369893882,-25.6167138286926
239,237,63,1,-2.0467423048836,-23.2553771149474
239,237,63,1,-1.91882091082837,-20.9636985011838
239,237,63,1,-1.79089951677315,-18.7487626578957
239,237,63,1,-1.66297812271792,-16.6180659884307
239,237,63,1,-1.5350567286627,-14.5794665828928
239,237,63,1,-1.40713533460747,-12.6411145988127
239,237,63,1,-1.27921394055225,-10.8113615242945
