"target_id","comparator_id","outcome_id","analysis_id","log_hazard_ratio","log_likelihood"
239,237,59,1,-2.30258509299405,-35.3919549451654
239,237,59,1,-2.17466369893882,-31.8517456175224
239,237,59,1,-2.0467423048836,-28.4255684104443
239,237,59,1,-1.91882091082837,-25.1254391938094
239,237,59,1,-1.79089951677315,-21.9641778475584
239,237,59,1,-1.66297812271792,-18.9553492920341
239,237,59,1,-1.5350567286627,-16.1131729283791
239,237,59,1,-1.40713533460747,-13.4523966606955
239,237,59,1,-1.34317463757986,-12.1947471983832
239,237,59,1,-1.27921394055225,-10.9881327055518
239,237,59,1,-1.21525324352463,-9.83446572198523
239,237,59,1,-1.15129254649702,-8.73565397567484
239,237,59,1,-1.08733184946941,-7.69359195532517
239,237,59,1,-1.0233711524418,-6.71015197417914
239,237,59,1,-0.959410455414185,-5.78717478324106
239,237,59,1,-0.895449758386573,-4.92645980476269
239,237,59,1,-0.831489061358961,-4.12975506953182
239,237,59,1,-0.767528364331348,-3.39874695362507
239,237,59,1,-0.703567667303736,-2.73504982152428
239,237,59,1,-0.639606970276123,-2.14019569234151
239,237,59,1,-0.575646273248511,-1.61562405404887
239,237,59,1,-0.511685576220899,-1.16267195654923
239,237,59,1,-0.447724879193286,-0.782564517860308
239,237,59,1,-0.383764182165674,-0.476405978308371
239,237,59,1,-0.319803485138062,-0.245171435179238
239,237,59,1,-0.255842788110449,-0.0896993846510199
239,237,59,1,-0.20703339666267,-0.0224602551367781
239,237,59,1,-0.158224005214891,0
239,237,59,1,-0.0547073068835562,-0.101395731776229
239,237,59,1,-0.00294895771788851,-0.228324489957423
239,237,59,1,0.0488093914477791,-0.40614706448811
239,237,59,1,0.100567740613447,-0.634833276275323
239,237,59,1,0.152326089779114,-0.914284990877334
239,237,59,1,0.204084438944782,-1.24433664230577
239,237,59,1,0.25584278811045,-1.6247561133137
239,237,59,1,0.319803485138062,-2.16399234600741
239,237,59,1,0.383764182165675,-2.77899107130261
239,237,59,1,0.447724879193287,-3.46891379302009
239,237,59,1,0.511685576220899,-4.23278541387474
239,237,59,1,0.575646273248512,-5.06950169353997
239,237,59,1,0.639606970276124,-5.97783751399805
239,237,59,1,0.703567667303737,-6.9564558253468
239,237,59,1,0.767528364331349,-8.0039171396135
239,237,59,1,0.831489061358961,-9.11868943768537
239,237,59,1,0.895449758386574,-10.2991583550823
239,237,59,1,0.959410455414186,-11.5436375157262
239,237,59,1,1.0233711524418,-12.85037888883
239,237,59,1,1.08733184946941,-14.2175830521416
239,237,59,1,1.15129254649702,-15.643409254657
239,237,59,1,1.21525324352464,-17.1259851831326
239,237,59,1,1.27921394055225,-18.663416348865
239,237,59,1,1.34317463757986,-20.2537950238627
239,237,59,1,1.40713533460747,-21.89520866834
239,237,59,1,1.5350567286627,-25.3235133003555
239,237,59,1,1.66297812271792,-28.9332180283422
239,237,59,1,1.79089951677315,-32.7095749481969
239,237,59,1,1.91882091082837,-36.6383646587789
239,237,59,1,2.0467423048836,-40.7060222397459
239,237,59,1,2.17466369893882,-44.8997278111557
239,237,59,1,2.30258509299405,-49.2074655031292
239,237,60,1,-2.30258509299405,-16.0219612021748
239,237,60,1,-2.17466369893882,-14.4853537570438
239,237,60,1,-2.0467423048836,-12.995259413722
239,237,60,1,-1.91882091082837,-11.5565793822912
239,237,60,1,-1.79089951677315,-10.1745428243068
239,237,60,1,-1.66297812271792,-8.85468279938228
239,237,60,1,-1.5350567286627,-7.60279932640394
239,237,60,1,-1.40713533460747,-6.42490799783493
239,237,60,1,-1.27921394055225,-5.32717300727587
239,237,60,1,-1.15129254649702,-4.31582409544409
239,237,60,1,-1.0233711524418,-3.39705779650462
239,237,60,1,-0.895449758386573,-2.576924455387
239,237,60,1,-0.767528364331348,-1.86120373093563
239,237,60,1,-0.639606970276123,-1.2552726023456
239,237,60,1,-0.511685576220899,-0.76397112231157
239,237,60,1,-0.383764182165674,-0.391472148647019
239,237,60,1,-0.255842788110449,-0.141161871325689
239,237,60,1,-0.160190654624009,-0.0353669189123131
239,237,60,1,-0.0645385211375692,0
239,237,60,1,0.0956521334864402,-0.0993980461842199
239,237,60,1,0.175747460798445,-0.223539627147357
239,237,60,1,0.25584278811045,-0.397004659436138
239,237,60,1,0.383764182165675,-0.775236330812696
239,237,60,1,0.511685576220899,-1.27565669853246
239,237,60,1,0.639606970276124,-1.89487957262173
239,237,60,1,0.767528364331349,-2.62873209526696
239,237,60,1,0.895449758386574,-3.47237421377355
239,237,60,1,1.0233711524418,-4.42042894894647
239,237,60,1,1.15129254649702,-5.46711664194118
239,237,60,1,1.27921394055225,-6.6063869478282
239,237,60,1,1.40713533460747,-7.83204333244246
239,237,60,1,1.5350567286627,-9.13785605506672
239,237,60,1,1.66297812271792,-10.5176609221002
239,237,60,1,1.79089951677315,-11.96544234108
239,237,60,1,1.91882091082837,-13.4754002931196
239,237,60,1,2.0467423048836,-15.0420017186056
239,237,60,1,2.17466369893882,-16.6600174559826
239,237,60,1,2.30258509299405,-18.324546295169
239,237,61,1,-2.30258509299405,-2.30258509299405
239,237,61,1,-1.79089951677315,-1.84986291243268
239,237,61,1,-1.27921394055225,-1.42940036286605
239,237,61,1,-0.767528364331348,-1.05349912106365
239,237,61,1,-0.255842788110449,-0.733918118510603
239,237,61,1,0.25584278811045,-0.478075330400154
239,237,61,1,0.767528364331349,-0.285970756732297
239,237,61,1,1.27921394055225,-0.150186422313807
239,237,61,1,1.79089951677315,-0.0589633956595319
239,237,61,1,2.30258509299405,0
239,237,63,1,-2.30258509299405,-22.7152622912192
239,237,63,1,-2.17466369893882,-20.4018730263542
239,237,63,1,-2.0467423048836,-18.1650053160786
239,237,63,1,-1.91882091082837,-16.012722441495
239,237,63,1,-1.79089951677315,-13.9536272167744
239,237,63,1,-1.66297812271792,-11.9968224174106
239,237,63,1,-1.5350567286627,-10.1518500099582
239,237,63,1,-1.40713533460747,-8.42860661427599
239,237,63,1,-1.27921394055225,-6.83723332306181
239,237,63,1,-1.15129254649702,-5.38797906459248
239,237,63,1,-1.0233711524418,-4.09103813701051
239,237,63,1,-0.895449758386573,-2.95636433358683
239,237,63,1,-0.767528364331348,-1.99346612532414
239,237,63,1,-0.639606970276123,-1.21118951025266
239,237,63,1,-0.511685576220899,-0.617497155708605
239,237,63,1,-0.383764182165674,-0.219254085836944
239,237,63,1,-0.255842788110449,-0.0220311293042101
239,237,63,1,-0.196710294246054,0
239,237,63,1,-0.0835720236569282,-0.0810739855422327
239,237,63,1,0.0295662469321978,-0.324980394109787
239,237,63,1,0.142704517521324,-0.731967668230979
239,237,63,1,0.25584278811045,-1.30124506985646
239,237,63,1,0.383764182165675,-2.13807499666538
239,237,63,1,0.511685576220899,-3.1759250368131
239,237,63,1,0.639606970276124,-4.40922436163324
239,237,63,1,0.767528364331349,-5.83110794698096
239,237,63,1,0.895449758386574,-7.4336131255199
239,237,63,1,1.0233711524418,-9.20789389921958
239,237,63,1,1.15129254649702,-11.1444417970777
239,237,63,1,1.27921394055225,-13.2333030258231
239,237,63,1,1.40713533460747,-15.4642832873135
239,237,63,1,1.5350567286627,-17.8271336532719
239,237,63,1,1.66297812271792,-20.3117130310002
239,237,63,1,1.79089951677315,-22.9081248006403
239,237,63,1,1.91882091082837,-25.6068269956368
239,237,63,1,2.0467423048836,-28.3987168404966
239,237,63,1,2.17466369893882,-31.2751915210484
239,237,63,1,2.30258509299405,-34.2281877561893
239,237,274,1,-2.30258509299405,-5.0396554197242
239,237,274,1,-1.79089951677315,-3.74045227369963
239,237,274,1,-1.27921394055225,-2.57028765165404
239,237,274,1,-0.767528364331348,-1.5783682606653
239,237,274,1,-0.511685576220899,-1.16444108511236
239,237,274,1,-0.255842788110449,-0.811729826674029
239,237,274,1,2.22044604925031e-16,-0.523248143764548
239,237,274,1,0.25584278811045,-0.300044250453131
239,237,274,1,0.511685576220899,-0.141069932670563
239,237,274,1,0.767528364331349,-0.0433115320026034
239,237,274,1,1.09861228866811,0
239,237,274,1,1.27921394055225,-0.0118597705495427
239,237,274,1,1.79089951677315,-0.15865324015334
239,237,274,1,2.30258509299405,-0.434485233736112
239,237,277,1,-2.30258509299405,-1.1069110914828
239,237,277,1,-1.79089951677315,-0.713152306580969
239,237,277,1,-1.27921394055225,-0.383912783668621
239,237,277,1,-0.767528364331348,-0.143795876284702
239,237,277,1,-0.255842788110449,-0.0163194473995163
239,237,277,1,0,0
239,237,277,1,0.25584278811045,-0.0163194473995165
239,237,277,1,0.767528364331349,-0.143795876284702
239,237,277,1,1.27921394055225,-0.383912783668621
239,237,277,1,1.79089951677315,-0.71315230658097
