target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
239,237,59,1,0.853658536585368,0.541236499407943,1.33920803698488,0.493600129930065,NA,-0.158224005214891,0.231120921748504,482,482,737091,716294,56,64,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,60,1,0.937500000000002,0.458860157031804,1.9051303091303,0.858947712471252,NA,-0.0645385211375692,0.363159783886239,510,510,820643,826099,25,29,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,61,1,NA,NA,NA,NA,NA,NA,NA,530,530,881877,912677,-5,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,63,1,0.821428571428572,0.469161147506454,1.42389218362192,0.487338121975331,NA,-0.196710294246054,0.283220272563481,502,502,797791,801260,37,40,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,274,1,3,0.384235719132362,60.6201435184683,0.394828344177421,NA,1.09861228866811,1.29112737322619,530,530,877527,911082,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,277,1,1,0.0395799610481354,25.2653103620755,1,NA,0,1.64769982939051,529,529,878566,908225,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,281,1,NA,NA,NA,NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,283,1,1.3212166399381701e-9,3.0020638072275797e-28,5.82580618024491,0.218551777606402,NA,-20.4447128279271,16.6164737004453,530,530,881037,912220,-5,-5,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,284,1,NA,NA,NA,NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,285,1,NA,NA,NA,NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
239,237,286,1,NA,NA,NA,NA,NA,NA,NA,530,530,881962,912677,0,0,NA,NA,NA,NA,NA,NA,TMU_CRD
